NR_INWENT,C,50;NAZWA,C,200;REGION,C,254;GMINA,C,100;WLASCICIEL,C,254;DLUGOSC,N,19,4;GLEBOKOSC,N,19,4;PRZEWYZSZE,N,19,4;DENIWELACJ,N,19,4;OSUWISKOWA,N,5,0;X_1992,N,19,4;Y_1992,N,19,4;ID,N,10,0
T.E-13.21;Dziura przy Lodowej Małołąckiej II;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3;0;0;0;0;567565,91;153268,87;1622
J.Olk.I-06.49;Schron w Wąwozie do Karniowic;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;3,8;0;1,9;1,9;0;554628,0393;254878,5313;1930
J.Olk.I-06.86;Jaskinia w Bramie Kobylańskiej;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;8,8;0;4,2;4,2;0;553999,2417;254285,4234;2013
G-15Ex;Jaskinia w Czarnowie;Region Świętokrzyski;Kielce (gm. miejska);;0;0;0;0;0;612926,7352;335460,7045;929
J.Olk.I-06.81;Szczelina obok Żabiego;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;2,2;0;1,4;1,4;0;554016,5758;254532,6299;2008
G-5Ex;Duża Dziura II w Jaworzni;Region Świętokrzyski;Piekoszów (gm. wiejska);Skarb Państwa;0;0;0;0;0;605281,4013;333693,784;919
J.Olk.I-07.08;Korytarz nad Stawami;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa;5;0;0;0;0;553020,734;254924,0526;1958
T.F-11.05;Szczelina w Krzesanicy III;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;36;8,5;8,5;0;0;566083,63;151954,24;1673
T.E-13.19;Szczelina w Mnichowych Turniach I;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;8;0;6,5;6,5;0;567497,1;153423,95;1620
J.Olk.I-07.42;Tunel pośredni w Wielkiej Skale;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Prywatny;5;0;0;0;0;554831,0874;258277,3115;2026
J.Olk.I-07.33;Jaskinia Rocznicowa;Wyżyna Śląsko-Krakowska;Jerzmanowice-Przeginia (gm. wiejska);Prywatny;12;1;3,5;2,5;0;554261,5698;257746,5311;1995
J.Olk.I-06.57;Korytarz pod Okrętem;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;3,7;0;0,8;0,8;0;554470,6163;254753,404;1977
T.E-13.22;Dziura przy Lodowej Małołąckiej III;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;4,5;0;4;4;0;567576,86;153266,53;1623
S.IV-04.02;Jaskinia w Stolcu (S-8.12);Sudety;Ząbkowice Śląskie (gm. miejsko-wiejska);Skarb Państwa;65,5;13,9;13,9;0;0;350074,935;305487,2824;4033
J.Olk.I-01.01;Schronisko przy drodze do Uliny prawe i lewe;Wyżyna Śląsko-Krakowska;Gołcza (gm. wiejska);Prywatny;3,5;0;0;0;0;561855,93;273176,84;10879
J.Olk.I-04.87;Jaskinia Zapomniana;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Prywatny;460;2,6;11,5;8,9;0;557405,39;257248,38;11248
J.Olk.I-04.10;Jaskinia za Leszczyną;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Skarb Państwa (Lasy Państwowe);17,5;0;0;0;0;557550,37;256144,47;11249
J.Śl-01.05;Schronisko Otmickie III;Wyżyna Śląsko-Krakowska;Izbicko (gm. wiejska);Prywatny;4,5;0;0,5;0,5;0;438671,9143;299635,8929;1826
J.Olk.I-06.67;Dziupla w Postrzępionej Turni;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;9,2;1,5;2,7;1,2;0;554252,7331;254720,3023;1992
J.Olk.I-07.16;Tunel za Iglicą w Wąwozie za Bramą Będkowską;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Skarb Państwa;13,5;0;0;0;0;553190,9293;255759,477;1966
J.Olk.I-06.80;Korytarz w Okapie;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;5,2;0;1,1;1,1;0;554016,5758;254532,6299;2007
J.Olk.I-07.27;Jaskinia Małotowa;Wyżyna Śląsko-Krakowska;Jerzmanowice-Przeginia (gm. wiejska);Skarb Państwa;56;12,5;12,5;0;0;553708,0274;257586,5228;1978
J.Śl-01.03;Schronisko Otmickie I;Wyżyna Śląsko-Krakowska;Izbicko (gm. wiejska);Prywatny;5;0;3,2;3,2;0;438436,2511;299669,5315;1824
T.F-09.19;Jaskinia z Mostami;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;70;4;19;15;0;563723,59;152254,69;1679
T.J-24.01;Dziura w Żabiem;Tatry;Bukowina Tatrzańska (gm. wiejska);Skarb Państwa;12;0;6;6;0;579067,07;149758,46;1715
J.Śl-01.06Ex;Schronisko w Tarnowie V;Wyżyna Śląsko-Krakowska;Gogolin (gm. miejsko-wiejska);Prywatny;0;0;0;0;0;435639,1458;299363,3549;1946
J.BK-02.06;Jaskinia przed „Problemówką”;Wyżyna Śląsko-Krakowska;Kraków (gm. miejska);Prywatny;9;0;0;0;0;565470,2716;241884,1773;2073
T.F-11.13;Szczelina w Ciemniaku;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;27;19;19;0;0;565574,58;151963,77;1676
T.E-12.60;Szczelina nad Dziurą w Wantach I;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3;1,9;1,9;0;0;566960,66;153376,91;1608
J.Śl-04.06;Schronisko w Czyżówce II;Wyżyna Śląsko-Krakowska;Trzebinia (gm. miejsko-wiejska);Komunalny;2;0;0;0;0;533638,2994;261528,586;1929
J.Olk.I-07.01Ex;Jaskinia w Lejku;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;11;6;6;0;0;552175,9703;254081,9891;2063
T.G-19.01;Wyżnia Szczelina w Zadnim Kościelcu;Tatry;Zakopane (gm. miejska);Skarb Państwa;17;3,5;8,5;5;0;573883,89;151080,91;1681
J.Śl-03.04;Schronisko Sauna;Wyżyna Śląsko-Krakowska;Będzin (gm. miejska);Komunalny;4;2;2;0;0;505076,0178;277387,9689;1902
T.F-09.22;Jaskinia Gankowa;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;14;0;0;0;0;563744,1;152235,24;1684
J.Olk.I-06.85;Schronisko Puste;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;4,5;0;0;0;0;554057,8157;254378,6538;2012
J.Cz.IV-04.79;Schronisko za Wantą;Wyżyna Śląsko-Krakowska;Wolbrom (gm. miejsko-wiejska);Prywatny;12;0;2,5;2,5;0;548912,5713;285146,3083;2552
T.F-08.01;Jaskinia Przeziorowa;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;420;12;17,7;5,7;0;562860,4;152274,84;1648
K.Bż-05.43;Jasny Schron na Okrąglicy;Karpaty;Zawoja (gm. wiejska);Prywatny;2;0;0;0;1;547286,86;195818,19;10176
J.Wl-01.16;Jaskinia w Lisowicach;Wyżyna Śląsko-Krakowska;Działoszyn (gm. miejsko-wiejska);Prywatny;6;1,8;1,8;0;0;488471,7017;360093,0894;1772
T.F-12.01;Litworowa Studnia;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;43;16,4;16,4;0;0;566631,43;152229,33;1680
J.Olk.I-07.43;Tunel Niski w Wielkiej Skale;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Prywatny;4,5;0;0;0;0;554831,0874;258277,3115;2027
J.Olk.I-07.23;Jaskinia nad Diablą Bramą;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Prywatny;10;0;8;8;0;553436,9765;256935,3375;1973
T.F-10.13;Szczelina w Tomanowym Grzbiecie II;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3;2;2;0;0;565158,29;151753,84;1720
T.E-13.02;Jaskinia Lodowa Małołącka;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;360;16,2;53,4;37,2;0;567562,36;153262,03;1627
S.III-04.22;Jaskinia Pluszowych Nacieków (S-5.22 ex);Sudety;Wojcieszów (gm. miejska);Skarb Państwa;35;0;0;0;0;282697,14;345707,75;3964
J.Olk.I-06.20;Szczelina za Szerokim Murem;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa (Lasy Państwowe);11,4;0;7,8;7,8;0;554640,5913;255588,876;1872
J.Śl-01.05Ex;Schronisko w Tarnowie IV;Wyżyna Śląsko-Krakowska;Gogolin (gm. miejsko-wiejska);Prywatny;0;0;0;0;0;435658,8157;299363,114;1945
J.Śl-04.09;Schronisko w Skałce w Bolęcinie II;Wyżyna Śląsko-Krakowska;Trzebinia (gm. miejsko-wiejska);Komunalny;2;0;0;0;0;533514,9;249640,06;1934
K.Bn-09.23;Schronisko L-8;Karpaty;Dukla (gm. miejsko-wiejska);Prywatny;8;0;0;0;1;694630,29;188701,73;3177
J.Olk.I-07.40;Szczelina w Wielkiej Skale;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Prywatny;6;1,5;4,5;3;0;554832,6777;258122,9323;2024
J.Olk.I-06.75;Okap pod Dzwonem;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;2,5;0;0;0;0;554115,1335;254595,3876;2002
J.Cz.I-04.22;Brama w Uroczysku  Bogdaniec;Wyżyna Śląsko-Krakowska;Janów (gm. wiejska);Skarb Państwa (Lasy Państwowe);6;1,5;1,5;0;0;527158,76;315343,63;2378
J.Cz.I-04.09;Schronisko w Kadzielni II;Wyżyna Śląsko-Krakowska;Janów (gm. wiejska);Skarb Państwa (Lasy Państwowe);6;0;0;0;0;526750,598;314631,2936;2360
J.Olk.I-06.94;Szczelina w Kominie;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;2;0;0;0;0;553916,4539;254624,2525;2048
J.Olk.I-07.45;Schronisko Małe w Wielkiej Skale;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Prywatny;3;0;0;0;0;554910,3795;258278,129;2029
J.Cz.I-03.55;Jaskinia Maurycego;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Skarb Państwa (Lasy Państwowe);143;4;9;5;0;521049,8499;317909,3428;2315
J.GT-04.16;Jaskinia nad Zajęczą;Wyżyna Śląsko-Krakowska;Liszki (gm. wiejska);Skarb Państwa (Lasy Państwowe);6;0;0;0;0;552009,1825;246762,1632;2369
J.Olk.I-06.95;Rura za Zjazdową Turnią;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;2,3;0;0;0;0;553955,1892;254717,2812;2049
J.BK-02.18;Kawerna w Pychowicach I;Wyżyna Śląsko-Krakowska;Kraków (gm. miejska);Komunalny;147,5;0;0;0;0;563301,6403;241116,4007;2085
J.Olk.I-06.91;Szczelina pod Płytą;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;3;0;0;0;0;553798,6811;254499,5468;2043
J.Olk.I-07.57;Dziurawiec na Tomaszówkach Dolnych;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Prywatny;6,5;0;0;0;0;555640,2806;258625,3804;2044
J.GT-05.08;Jaskinia w Kamieniołomie w Rybnej;Wyżyna Śląsko-Krakowska;Czernichów (gm. wiejska);Prywatny;12;0;5;0;0;545917,2854;243587,6847;2406
J.Olk.I-06.07;Jaskinia Kowalskiego;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa (Lasy Państwowe);28,4;8,4;9,4;1;0;554541,11;255618,7355;1843
J.Śl-03.09;Schronisko w Dąbiu I;Wyżyna Śląsko-Krakowska;Psary (gm. wiejska);Komunalny;7;1;1;0;0;510578,089;281626,3248;1912
J.Wl-01.29;Jaskinia Kitajka;Wyżyna Śląsko-Krakowska;Lipie (gm. wiejska);Prywatny;12;1,2;3,2;2;0;487679,0352;353795,1524;1785
J.Olk.I-07.31;Jaskinia nad Żródłem III;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Prywatny;11;9;9;0;0;553908,7842;257341,5199;1991
J.Wl-12Ex;Jaskinia Młynki;Wyżyna Śląsko-Krakowska;Działoszyn (gm. miejsko-wiejska);Prywatny;0;0;0;0;0;484828,3994;357415,8486;1809
J.Śl-02.07;Ząbkowicki Kominek;Wyżyna Śląsko-Krakowska;Dąbrowa Górnicza (gm. miejska);Komunalny;3;0;3;3;0;519174,7794;278377,4916;1870
J.Olk.I-07.24;Schronisko Dolne nad Źródłem;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Prywatny;3,5;0;0;0;0;553633,7014;257091,7101;1974
J.Olk.I-07.26;Jaskinia Dziewicza;Wyżyna Śląsko-Krakowska;Jerzmanowice-Przeginia (gm. wiejska);Skarb Państwa;64;10;10;0;0;553506,9786;257862,409;1976
J.Olk.I-06.27;Kobylańska Koleba;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa (Lasy Państwowe);2,7;0;0;0;0;554662,0084;255434,7009;1883
J.Olk.I-06.30;Schron na Rogu I;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Skarb Państwa (Lasy Państwowe);3,3;0;0;0;0;553632,5253;255238,9641;1893
J.Olk.I-06.31;Schron na Rogu II;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Skarb Państwa (Lasy Państwowe);4;0;0;0;0;553632,5253;255238,9641;1894
J.Olk.I-07.14;Schronisko powyżej Jaskini nad Szańcem;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Skarb Państwa;5,5;0;0;0;0;553174,7952;255388,77;1964
T.E-13.29;Szczelina w Kopie;Tatry;Zakopane (gm. miejska);Skarb Państwa;12,7;4;4;0;0;568201,82;152767,27;1631
J.Olk.I-07.25;Schronisko Górne nad Żródłem;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Prywatny;15;0;0;0;0;553653,2177;257122,7857;1975
J.Olk.I-06.77;Okap poniżej Dzwonu;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;2;0;0;0;0;554115,1335;254595,3876;2004
J.Śl-01.09Ex;Schronisko Strzelce III;Wyżyna Śląsko-Krakowska;Strzelce Opolskie (gm. miejsko-wiejska);Prywatny;5;0;0;0;0;450974,3304;296295,0942;1949
J.Olk.I-06.06;Grotka w Kominie;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa (Lasy Państwowe);3;0;0;0;0;554540,7939;255649,6113;1840
J.Śl-01.18;Schronisko w Szczepanku VI;Wyżyna Śląsko-Krakowska;Strzelce Opolskie (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);3;0;0;0;0;453492,6729;296179,5773;1841
J.Olk.I-07.35;Jaskinia Górna pod Kawiorami;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Prywatny;22;6;6;0;0;554696,7678;257843,6221;2019
J.Olk.I-06.78;Tunelik przy Schronisku z Obrazem;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;7,4;1,1;1,1;0;0;553996,426;254563,3046;2005
J.Wl-01.25;Jaskinia Szachownica I;Wyżyna Śląsko-Krakowska;Lipie (gm. wiejska);Skarb Państwa;690;6;12,6;6,6;0;486376,0626;354230,7623;1781
J.Olk.I-06.42;Piwnica w Pieninkach;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa (Lasy Państwowe);3;0;0;0;0;554585,521;255156,006;1916
J.Olk.I-06.56;Okap pod Okrętem;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;3,2;0;0;0;0;554470,6163;254753,404;1940
J.Wl-01.28;Jaskinia Szachownica VI;Wyżyna Śląsko-Krakowska;Lipie (gm. wiejska);Skarb Państwa;11;0;0;0;0;486375,9811;354199,8814;1784
J.Olk.I-07.36;Jaskinia Głęboka;Wyżyna Śląsko-Krakowska;Jerzmanowice-Przeginia (gm. wiejska);Prywatny;31;14;14;0;0;554589,0939;258676,2525;2020
J.Olk.I-07.60;Jaskinia na Tomaszówkach Górnych;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Prywatny;30;2;2;0;0;555877,1691;258720,5001;2052
J.Wl-01.21;Jaskinia Mariusza I;Wyżyna Śląsko-Krakowska;Działoszyn (gm. miejsko-wiejska);Prywatny;3;0;0;0;0;485413,1014;357831,0593;1777
J.Śl-03.05;Schronisko Myte;Wyżyna Śląsko-Krakowska;Będzin (gm. miejska);Komunalny;8;2;2;0;0;505116,4156;276461,6894;1903
J.Wl-02.05;Jaskinia za Wantami w Rębielskiej Górze;Wyżyna Śląsko-Krakowska;Popów (gm. wiejska);Skarb Państwa;5;1,5;1,5;0;0;489124,5123;346967,2286;1790
J.Wl-01.07;Jaskinia Kuźnica;Wyżyna Śląsko-Krakowska;Działoszyn (gm. miejsko-wiejska);Skarb Państwa;62;7,5;7,5;0;0;485475,3217;359205,1044;1159
J.Olk.I-07.21;Schronisko w Łazach;Wyżyna Śląsko-Krakowska;Jerzmanowice-Przeginia (gm. wiejska);Prywatny;12;0;0;0;0;552138,7824;257879,7112;1971
J.Olk.I-06.97;Koleba w Skałach za Długoszem;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;4,4;0;2,4;2,4;0;554093,7296;254749,5646;2053
T.F-08.02;Szczelina w Ścianie;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;4,5;0;0,3;0,3;0;562966,57;152304,64;1649
T.E-12.68;Czerwona Studzienka;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;12;12;12;0;0;566496,2;153431,83;1615
T.A-06.03;Siwiańskie Okno;Tatry;Kościelisko (gm. wiejska);Komunalny;3;2;2;0;0;560118,6;156902,86;11046
J.Olk.I-06.18;Koleba pod Jastrzębią;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa (Lasy Państwowe);8,3;0;2,6;2,6;0;554620,1251;255650,4241;1868
J.Olk.I-06.48;Schron za Tarasową Turnią;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa (Lasy Państwowe);8,1;0;4,1;4,1;0;554646,2916;255033,1132;1928
J.BK-01.01;Smocza Jama;Wyżyna Śląsko-Krakowska;Kraków (gm. miejska);Skarb Państwa;276;9,5;12;2,5;0;566821,8787;243299,8506;2067
J.Olk.I-06.101;Okap w Skałce za Cycówką;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Prywatny;2,2;0;0;0;0;554170,8768;254966,5006;2058
J.BK-02.03;Rurka;Wyżyna Śląsko-Krakowska;Kraków (gm. miejska);Prywatny;3;0;0;0;0;565632,5083;241798,5529;2070
J.Wl-01.11;Jaskinia Zanokcica;Wyżyna Śląsko-Krakowska;Działoszyn (gm. miejsko-wiejska);Skarb Państwa;21;11,5;11,5;0;0;485513,7757;359050,5892;1767
T.F-09.17;Ósemka;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;5;1;3,8;2,8;0;563769,67;152250,91;1678
J.Olk.I-07.12;Jaskinia Bojowa;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa;82;22;22;0;0;552507,75;254641,0642;1962
J.Olk.I-07.13;Jaskinia nad Szańcem;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Skarb Państwa;53;10;10;0;0;553136,3595;255264,8713;1963
J.Olk.I-06.62;Jaskinia Wielka Strąka;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;11;0;3,7;3,7;0;554391,2718;254752,5935;1983
G-22Ex;Jaskinia w Budach;Region Świętokrzyski;Bogoria (gm. wiejska);;0;0;0;0;0;667193,4013;308892,911;936
J.Śl-01.08;Schronisko w Rezerwacie;Wyżyna Śląsko-Krakowska;Leśnica (gm. miejsko-wiejska);Skarb Państwa;5;0;0;0;0;441016,4074;287657,9799;1829
T.F-09.24;Gruzowa Dziura;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;4;1;1;0;0;563809,21;152229,96;1686
J.Śl-01.04;Schronisko Otmickie II;Wyżyna Śląsko-Krakowska;Izbicko (gm. wiejska);Prywatny;3;0;0;0;0;438396,7328;299654,5539;1825
J.Śl-01.03Ex;Schronisko w Tarnowie II;Wyżyna Śląsko-Krakowska;Gogolin (gm. miejsko-wiejska);Prywatny;12;0;0;0;0;435658,8157;299363,114;1943
J.BK-02.16;Tunel w Pychowicach;Wyżyna Śląsko-Krakowska;Kraków (gm. miejska);Prywatny;5;0;0;0;0;564341,6715;241474,1117;2083
J.Olk.I-07.29;Jaskinia nad Źródłem I;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Prywatny;130;16;16;0;0;553869,1312;257341,1186;1989
J.BK-02.04;Kawerna Magazyn;Wyżyna Śląsko-Krakowska;Kraków (gm. miejska);Prywatny;107;0;26,5;26,5;0;565561,2125;241754,3969;2071
T.E-25.01;Jaskinia Wołoszyńska Wyżnia;Tatry;Bukowina Tatrzańska (gm. wiejska);Skarb Państwa;44;0;10,2;10,2;0;579222,49;153521,31;1662
T.E-12.69;Łamana Dziura;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;15;10;10;0;0;566655,18;153356,57;1616
T.F-11.06;Dziura w Krzesanicy II;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;6;4;6;2;0;566172,74;151986,59;1674
J.Wl-01.05;Jaskinia Mała;Wyżyna Śląsko-Krakowska;Działoszyn (gm. miejsko-wiejska);Skarb Państwa;22,5;0;0;0;0;485436,1719;359112,5707;1753
S.V-02.02;Wilcza Jama (S-6.2);Sudety;Złotoryja (gm. wiejska);Skarb Państwa;7;1;1;0;0;283283,6949;364486,0658;3998
J.Olk.I-07.65;Jaskinia w Polniku III;Wyżyna Śląsko-Krakowska;Jerzmanowice-Przeginia (gm. wiejska);Prywatny;9;0;2;0;0;555949,9616;259338,8504;2062
J.Olk.I-01.03;Schronisko na Półce;Wyżyna Śląsko-Krakowska;Trzyciąż (gm. wiejska);Skarb Państwa (Lasy Państwowe);3,8;0;0;0;0;560877,84;272097,04;10881
J.Olk.I-06.71;Schronisko Przechodnie;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;16,1;0;3,9;3,9;0;554154,8069;254595,7906;1998
T.E-13.25;Zaspałkowa Szpara;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;4;0;0;0;0;567389,66;152887,56;1625
J.Olk.I-06.50;Schron z Filarkiem;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;2;0;0;0;0;554727,2177;254879,5491;1933
J.Wl-01.08;Szpaciarnia I na Górze Zelce;Wyżyna Śląsko-Krakowska;Działoszyn (gm. miejsko-wiejska);Skarb Państwa;7;3,8;3,8;0;0;485611,3435;359173,8415;1186
J.Olk.I-06.61;Schronisko Wielka Strąka;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;4,5;0;1,5;1,5;0;554371,4356;254752,3911;1982
J.Olk.I-07.17;Schronisko nad Bramą Będkowską;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Skarb Państwa;4;0;9;0;0;553269,95;255791,1455;1967
J.Śl-01.08Ex;Schronisko Strzelce II;Wyżyna Śląsko-Krakowska;Strzelce Opolskie (gm. miejsko-wiejska);Prywatny;3;0;0;0;0;451071,5859;296170,6667;1948
J.Olk.I-06.22;Zakos przez Sępią Basztą;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa (Lasy Państwowe);3,4;0;0;0;0;554640,5913;255588,876;1875
T.F-11.14;Dziura w Ciemniaku;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3;2,4;2,4;0;0;565587,56;152002,1;1677
J.Śl-04.05;Schronisko w Czyżówce I;Wyżyna Śląsko-Krakowska;Trzebinia (gm. miejsko-wiejska);Komunalny;2;0;0;0;0;533519,4367;261527,8353;1927
T.L-22.04;Studnia w Mnichu;Tatry;Bukowina Tatrzańska (gm. wiejska);Skarb Państwa;59,3;22,3;22,3;0;0;576883,24;147851,36;1733
J.Śl-04.08;Schronisko w Skałce w  Bolęcinie I;Wyżyna Śląsko-Krakowska;Trzebinia (gm. miejsko-wiejska);Komunalny;2;0;0;0;0;533514,8997;249640,0608;1932
J.BK-05.01;Jaskinia w Kajasówce;Wyżyna Śląsko-Krakowska;Czernichów (gm. wiejska);Skarb Państwa (Lasy Państwowe);25;0;0;0;0;547838,9759;240702,5788;2207
J.BK-04.10;Jaskinia Na Gołąbcu Dolna;Wyżyna Śląsko-Krakowska;Liszki (gm. wiejska);Komunalny;6;2,4;2,4;0;0;556538,2555;238726,2804;2200
J.BK-04.13;Rura w Ściejowicach;Wyżyna Śląsko-Krakowska;Liszki (gm. wiejska);Komunalny;3;0;0;0;0;556621,8695;237469,023;2206
J.Cz.I-02.20;Schronisko pod Basztą w Górze Zamkowej;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Prywatny;5;0;1;1;0;519297,2778;320125,9054;2201
J.Cz.I-02.05;System Jaskiń Towarnich;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Prywatny;183;8;11;3;0;519053,836;322410,1104;2174
J.Cz.I-03.15;Schronisko Borsucze w Sokolicy;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Skarb Państwa (Lasy Państwowe);5;0;0;0;0;519344,4684;317964,5062;2253
J.BK-02.31;Tunel nad Okapem I;Wyżyna Śląsko-Krakowska;Kraków (gm. miejska);Komunalny;12;0,5;4,5;4;0;557590,0556;239764,0195;2115
J.BK-02.32;Tunel nad Okapem II;Wyżyna Śląsko-Krakowska;Kraków (gm. miejska);Komunalny;3;0;0;0;0;557590,0566;239764,0196;2116
J.Cz.I-03.29;Schronisko Podwójne w Pustelnicy;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Skarb Państwa (Lasy Państwowe);7;0;3;3;0;520068,3343;318306,9136;2277
J.Cz.I-02.21;Schronisko z Oknem w Górze Zamkowej;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Prywatny;12;0;1;1;0;519473,713;320095,6812;2203
J.Cz.I-02.05Ex;Schronisko Poznaniaków;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Prywatny;9,5;2;2;0;0;519336,3456;320156,9297;2177
J.BK-04.12;Szczeliniec w Ściejowicach;Wyżyna Śląsko-Krakowska;Liszki (gm. wiejska);Komunalny;23;0;3,5;3,5;0;556621,3371;237489,0007;2204
J.BK-02.17;Jaskinia Pychowicka;Wyżyna Śląsko-Krakowska;Kraków (gm. miejska);Prywatny;122;3,4;8,1;4,7;0;564332,4864;241443,8771;2084
K.Bż-05.46;Szkieletowe Schronisko;Karpaty;Zawoja (gm. wiejska);Skarb Państwa (Lasy Państwowe);3,5;1;1;0;1;547261,95;196605,29;10181
J.Cz.I-02.29;Schronisko Św. Idziego;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Skarb Państwa (Lasy Państwowe);21;0;0;0;0;522040,6161;318381,7219;2217
J.Cz.I-03.12;Schronisko w Sokolicy II;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Skarb Państwa (Lasy Państwowe);6,5;0;0;0;0;519187,6746;317963,9277;2249
J.Cz.IV-04.96;Schronisko nad Dołkami I;Wyżyna Śląsko-Krakowska;Pilica (gm. miejsko-wiejska);Prywatny;8,5;0;3;3;0;549254,8936;286508,2096;2569
